time_ana,D_ana_n1,D_ana_n2,D_ana_n3,D_ana_n4
8038,1577.0717562675363,1577.0717562675363,1577.0717562675363,1577.0717562675363
8040,1577.4348442862195,1577.4348442862195,1577.4348442862195,1577.4348442862195
8042,1577.7979269082948,1577.7979269082948,1577.7979269082948,1577.7979269082948
8044,1578.1610041354197,1578.1610041354197,1578.1610041354197,1578.1610041354197
8046,1578.5240759692508,1578.5240759692508,1578.5240759692508,1578.5240759692508
8048,1578.8871424114438,1578.8871424114438,1578.8871424114438,1578.8871424114438
8050,1579.2502034636534,1579.2502034636534,1579.2502034636534,1579.2502034636534
8052,1579.6132591275332,1579.6132591275332,1579.6132591275332,1579.6132591275332
8054,1579.976309404736,1579.976309404736,1579.976309404736,1579.976309404736
8056,1580.339354296914,1580.339354296914,1580.339354296914,1580.339354296914
8058,1580.7023938057177,1580.7023938057177,1580.7023938057177,1580.7023938057177
8060,1581.0654279327975,1581.0654279327975,1581.0654279327975,1581.0654279327975
8062,1581.4284566798021,1581.4284566798021,1581.4284566798021,1581.4284566798021
8064,1581.79148004838,1581.79148004838,1581.79148004838,1581.79148004838
8066,1582.154498040178,1582.154498040178,1582.154498040178,1582.154498040178
8068,1582.5175106568422,1582.5175106568422,1582.5175106568422,1582.5175106568422
8070,1582.8805179000183,1582.8805179000183,1582.8805179000183,1582.8805179000183
8072,1583.2435197713503,1583.2435197713503,1583.2435197713503,1583.2435197713503
8074,1583.606516272482,1583.606516272482,1583.606516272482,1583.606516272482
8076,1583.9695074050553,1583.9695074050553,1583.9695074050553,1583.9695074050553
8078,1584.3324931707123,1584.3324931707123,1584.3324931707123,1584.3324931707123
8080,1584.6954735710933,1584.6954735710933,1584.6954735710933,1584.6954735710933
8082,1585.0584486078378,1585.0584486078378,1585.0584486078378,1585.0584486078378
8084,1585.421418282585,1585.421418282585,1585.421418282585,1585.421418282585
8086,1585.7843825969721,1585.7843825969721,1585.7843825969721,1585.7843825969721
8088,1586.1473415526364,1586.1473415526364,1586.1473415526364,1586.1473415526364
8090,1586.5102951512135,1586.5102951512135,1586.5102951512135,1586.5102951512135
8092,1586.8732433943387,1586.8732433943387,1586.8732433943387,1586.8732433943387
8094,1587.2361862836458,1587.2361862836458,1587.2361862836458,1587.2361862836458
8096,1587.5991238207678,1587.5991238207678,1587.5991238207678,1587.5991238207678
8098,1587.9620560073372,1587.9620560073372,1587.9620560073372,1587.9620560073372
8100,1588.3249828449852,1588.3249828449852,1588.3249828449852,1588.3249828449852
8102,1588.687904335342,1588.687904335342,1588.687904335342,1588.687904335342
8104,1589.050820480037,1589.050820480037,1589.050820480037,1589.050820480037
8106,1589.4137312806986,1589.4137312806986,1589.4137312806986,1589.4137312806986
8108,1589.7766367389545,1589.7766367389545,1589.7766367389545,1589.7766367389545
8110,1590.1395368564313,1590.1395368564313,1590.1395368564313,1590.1395368564313
8112,1590.5024316347544,1590.5024316347544,1590.5024316347544,1590.5024316347544
8114,1590.865321075549,1590.865321075549,1590.865321075549,1590.865321075549
8116,1591.2282051804384,1591.2282051804384,1591.2282051804384,1591.2282051804384
8118,1591.591083951046,1591.591083951046,1591.591083951046,1591.591083951046
8120,1591.953957388993,1591.953957388993,1591.953957388993,1591.953957388993
8122,1592.3168254959014,1592.3168254959014,1592.3168254959014,1592.3168254959014
8124,1592.6796882733909,1592.6796882733909,1592.6796882733909,1592.6796882733909
8126,1593.0425457230804,1593.0425457230804,1593.0425457230804,1593.0425457230804
8128,1593.4053978465886,1593.4053978465886,1593.4053978465886,1593.4053978465886
8130,1593.7682446455326,1593.7682446455326,1593.7682446455326,1593.7682446455326
8132,1594.1310861215288,1594.1310861215288,1594.1310861215288,1594.1310861215288
8134,1594.4939222761927,1594.4939222761927,1594.4939222761927,1594.4939222761927
8136,1594.8567531111391,1594.8567531111391,1594.8567531111391,1594.8567531111391
8138,1595.2195786279817,1595.2195786279817,1595.2195786279817,1595.2195786279817
8140,1595.5823988283328,1595.5823988283328,1595.5823988283328,1595.5823988283328
8142,1595.9452137138046,1595.9452137138046,1595.9452137138046,1595.9452137138046
8144,1596.3080232860077,1596.3080232860077,1596.3080232860077,1596.3080232860077
8146,1596.6708275465521,1596.6708275465521,1596.6708275465521,1596.6708275465521
8148,1597.0336264970879,1597.0336264970879,1597.0336264970879,1597.0336264970879
8150,1597.3964201393096,1597.3964201393096,1597.3964201393096,1597.3964201393096
8152,1597.7592084748303,1597.7592084748303,1597.7592084748303,1597.7592084748303
8154,1598.121991505259,1598.121991505259,1598.121991505259,1598.121991505259
8156,1598.4847692322041,1598.4847692322041,1598.4847692322041,1598.4847692322041
8158,1598.8475416572724,1598.8475416572724,1598.8475416572724,1598.8475416572724
8160,1599.2103087820703,1599.2103087820703,1599.2103087820703,1599.2103087820703
8162,1599.5730706082036,1599.5730706082036,1599.5730706082036,1599.5730706082036
8164,1599.9358271372764,1599.9358271372764,1599.9358271372764,1599.9358271372764
8166,1600.2985783708928,1600.2985783708928,1600.2985783708928,1600.2985783708928
8168,1600.6613243106553,1600.6613243106553,1600.6613243106553,1600.6613243106553
8170,1601.0240649581663,1601.0240649581663,1601.0240649581663,1601.0240649581663
8172,1601.3868003150262,1601.3868003150262,1601.3868003150262,1601.3868003150262
8174,1601.7495303828355,1601.7495303828355,1601.7495303828355,1601.7495303828355
8176,1602.1122551631936,1602.1122551631936,1602.1122551631936,1602.1122551631936
8178,1602.4749746576986,1602.4749746576986,1602.4749746576986,1602.4749746576986
8180,1602.8376888679484,1602.8376888679484,1602.8376888679484,1602.8376888679484
8182,1603.2003977955392,1603.2003977955392,1603.2003977955392,1603.2003977955392
8184,1603.5631014420667,1603.5631014420667,1603.5631014420667,1603.5631014420667
8186,1603.9257998091264,1603.9257998091264,1603.9257998091264,1603.9257998091264
8188,1604.2884928983117,1604.2884928983117,1604.2884928983117,1604.2884928983117
8190,1604.6511807112158,1604.6511807112158,1604.6511807112158,1604.6511807112158
8192,1605.013863249431,1605.013863249431,1605.013863249431,1605.013863249431
8194,1605.376540514549,1605.376540514549,1605.376540514549,1605.376540514549
8196,1605.7392125081599,1605.7392125081599,1605.7392125081599,1605.7392125081599
8198,1606.1018792318534,1606.1018792318534,1606.1018792318534,1606.1018792318534
8200,1606.4645406872182,1606.4645406872182,1606.4645406872182,1606.4645406872182
8202,1606.8271968758422,1606.8271968758422,1606.8271968758422,1606.8271968758422
8204,1607.1898477993125,1607.1898477993125,1607.1898477993125,1607.1898477993125
8206,1607.552493459215,1607.552493459215,1607.552493459215,1607.552493459215
8208,1607.915133857135,1607.915133857135,1607.915133857135,1607.915133857135
8210,1608.2777689946572,1608.2777689946572,1608.2777689946572,1608.2777689946572
8212,1608.6403988733646,1608.6403988733646,1608.6403988733646,1608.6403988733646
8214,1609.0030234948401,1609.0030234948401,1609.0030234948401,1609.0030234948401
8216,1609.3656428606655,1609.3656428606655,1609.3656428606655,1609.3656428606655
8218,1609.7282569724214,1609.7282569724214,1609.7282569724214,1609.7282569724214
8220,1610.0908658316882,1610.0908658316882,1610.0908658316882,1610.0908658316882
8222,1610.453469440045,1610.453469440045,1610.453469440045,1610.453469440045
8224,1610.8160677990697,1610.8160677990697,1610.8160677990697,1610.8160677990697
8226,1611.17866091034,1611.17866091034,1611.17866091034,1611.17866091034
8228,1611.541248775433,1611.541248775433,1611.541248775433,1611.541248775433
8230,1611.9038313959234,1611.9038313959234,1611.9038313959234,1611.9038313959234
8232,1612.2664087733865,1612.2664087733865,1612.2664087733865,1612.2664087733865
8234,1612.6289809093964,1612.6289809093964,1612.6289809093964,1612.6289809093964
8236,1612.991547805526,1612.991547805526,1612.991547805526,1612.991547805526
8238,1613.3541094633474,1613.3541094633474,1613.3541094633474,1613.3541094633474
8240,1613.7166658844324,1613.7166658844324,1613.7166658844324,1613.7166658844324
