node_id,D_tmax,alpha_c,normed_alpha_c,beta_exp_rough
235,886.6876612987543,1.1702860032925149,0.17276854106961348,0.7369426662705917
236,3.783788644415529,1.0,0.14762933213209564,0.144481717375909
237,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
238,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
239,1112.5881606028343,1.3131016176011672,0.19385231482803478,0.7615836085416355
240,303.4776227198579,1.0586704840734065,0.15629081651171942,0.6205316683441098
241,303.4776227198579,1.0586704840734062,0.15629081651171936,0.6205316683441098
242,279.3172827458491,1.0565329998797643,0.1559752611477691,0.6115244521215806
243,1012.0636032605233,1.265262674449505,0.1867898836006496,0.7513019516627749
244,671.6832094844584,1.3000708490507649,0.19192859116977096,0.7067911230210074
245,416.3486922516624,1.1572614655595728,0.17084573726276994,0.6548643012201303
246,211.87222871965736,1.0580882583808533,0.15620486292157765,0.5815185087574303
247,780.3032167765667,1.222843626406995,0.18052758786845458,0.7230658493212947
248,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
249,103.8973578295261,1.0981308158956036,0.16211631894434125,0.5041511258338385
250,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
251,2490.6443963082265,1.2979045224373629,0.19160877781865443,0.849077931307504
252,3228.6458575289666,1.468634152416208,0.21681347906759119,0.8772551027256621
253,3.783788644415529,1.0,0.14762933213209564,0.144481717375909
254,1276.7227087290637,1.183888896906583,0.1747767271689223,0.7765241457830497
255,1276.7227087290637,1.1838888969065833,0.17477672716892234,0.7765241457830497
256,580.8784229921919,1.1057943021919838,0.16324767430807932,0.6910213111747183
257,3.783788644415529,1.0,0.14762933213209564,0.144481717375909
258,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
259,360.95914761596265,1.1547911129468362,0.17048104075642087,0.6393645131018189
260,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
261,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
262,3841.5242346332834,1.510340315255584,0.22297053203336067,0.8961258943305466
263,4254.501728860967,1.627449402281202,0.24025926833755212,0.9072121761182279
264,3841.5242346332825,1.5103403152555845,0.22297053203336076,0.8961258943305466
265,4649.878253934359,1.7544782065154165,0.25901244586818795,0.9168603955162153
266,4649.878253934358,1.7544782065154159,0.25901244586818783,0.9168603955162153
267,3841.524234633283,1.5103403152555837,0.22297053203336062,0.8961258943305466
268,4649.878253934359,1.7544782065154163,0.2590124458681879,0.9168603955162153
269,3841.5242346332825,1.510340315255584,0.22297053203336067,0.8961258943305466
270,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
271,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
272,3.783788644415529,1.0,0.14762933213209564,0.144481717375909
273,285.23990900144776,1.1054315883271701,0.16319412710246184,0.6138025723062993
274,285.23990900144776,1.1054315883271701,0.16319412710246184,0.6138025723062993
275,599.9120347809604,1.2542283218493582,0.18516088949577986,0.6945218935917717
276,1323.465534258157,1.1345379302624004,0.16749107692316828,0.7804281589676346
277,3369.272059270745,1.5055438577533942,0.2222624342157124,0.8818840201146486
278,3369.272059270745,1.5055438577533935,0.22226243421571232,0.8818840201146486
279,3073.166660909626,1.4152431852732321,0.20893140624638698,0.871896528280068
280,3073.166660909625,1.4152431852732321,0.20893140624638698,0.871896528280068
281,4737.414221994163,2.0681227617315274,0.3053155820816106,0.9188853398732215
282,3136.0695278295407,1.460804620167984,0.21565761045087917,0.8740964206473909
283,3377.5579135625408,1.5188831939411482,0.22423171150819604,0.8821507011056049
284,3073.166660909625,1.4152431852732321,0.20893140624638698,0.871896528280068
285,3073.1666609096264,1.4152431852732315,0.20893140624638687,0.871896528280068
286,237.68950949312182,1.149923980830314,0.16976250929266004,0.5940025036043339
287,186.50300620511905,1.1027591401892929,0.16279959536870936,0.5676714591270243
288,237.68950949312182,1.1499239808303139,0.16976250929266,0.5940025036043339
289,186.50300620511905,1.102759140189293,0.1627995953687094,0.5676714591270243
290,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
291,103.8973578295261,1.0981308158956036,0.16211631894434125,0.5041511258338385
292,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
